url,review,rating,label
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,"Wow, its just amazing",5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,"Delivered in just next day of order. Efficient order management. Seems nice, hope product is also good.",5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,"delivered within 12 hours  gosh that's impressive, good product in the price, comfortable fabric and stylish tooloved it ",5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Great quality ,4,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Just received jacket... quality is good,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Order large size but received XL,5,0
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,quality is good fully satisfied,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Its so great love it ,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,It was good....as expected.,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Satisfied with the quality,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Good. According to price,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,satisfied so far.....,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,love this product....,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Good as expected,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Nice product ,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Good service ,3,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Great product.,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,good for me,5,
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,Nice,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,thanks ,5,1
https://www.daraz.com.np/products/ktm-cty-men-polyfiber-jacket-without-hoodie-kpj05911-8a-i105022682-s1026620996.html?search=1,nice,5,1
https://www.daraz.com.np/products/8848-men-fleece-jacket-kfj95757-5a-i103484168-s1024226058.html?search=1,"Item was good no doubt about it, only reason for 4 star is got a used item or something cause when I opened the package and saw the jacket.",4,1
